iter	Passed	Remaining
0	4	1413
1	8	1283
2	12	1254
3	16	1250
4	20	1228
5	25	1233
6	29	1227
7	33	1216
8	37	1217
9	42	1226
10	46	1215
11	49	1199
12	53	1192
13	57	1183
14	62	1186
15	66	1181
16	71	1183
17	74	1173
18	78	1162
19	82	1151
20	86	1150
21	90	1148
22	95	1145
23	99	1139
24	102	1131
25	106	1125
26	110	1119
27	114	1110
28	118	1105
29	121	1096
30	125	1088
31	128	1079
32	132	1073
33	137	1076
34	141	1070
35	144	1062
36	148	1057
37	152	1052
38	156	1045
39	159	1038
40	163	1031
41	167	1026
42	171	1025
43	175	1019
44	178	1013
45	182	1010
46	186	1003
47	190	998
48	193	992
49	197	988
50	201	984
51	205	980
52	209	976
53	213	974
54	217	969
55	221	964
56	224	958
57	228	953
58	233	951
59	236	946
60	240	941
61	243	936
62	248	933
63	251	928
64	255	923
65	259	918
66	263	914
67	267	912
68	271	907
69	274	902
70	279	900
71	283	898
72	287	893
73	291	888
74	294	884
75	298	880
76	302	875
77	306	871
78	310	867
79	314	863
80	317	859
81	321	855
82	326	853
83	330	849
84	334	845
85	338	842
86	342	839
87	346	835
88	350	830
89	354	826
90	358	823
91	362	819
92	366	815
93	370	811
94	374	808
95	379	805
96	383	801
97	387	798
98	391	794
99	394	789
100	398	785
101	402	781
102	406	776
103	410	773
104	414	769
105	417	764
106	421	760
107	425	756
108	429	751
109	432	747
110	436	743
111	441	741
112	445	737
113	449	733
114	454	730
115	458	726
116	462	723
117	466	718
118	470	715
119	475	712
120	479	709
121	483	706
122	488	702
123	492	698
124	496	694
125	500	691
126	504	687
127	509	683
128	513	680
129	518	677
130	522	673
131	526	669
132	530	666
133	535	663
134	539	659
135	543	655
136	548	652
137	553	649
138	557	645
139	561	641
140	566	638
141	571	635
142	575	632
143	580	628
144	584	624
145	588	620
146	592	616
147	596	613
148	601	609
149	605	605
150	609	601
151	614	597
152	617	593
153	621	589
154	625	585
155	630	581
156	634	577
157	638	573
158	642	569
159	647	566
160	651	562
161	655	558
162	659	554
163	663	550
164	667	545
165	670	541
166	674	537
167	679	533
168	682	529
169	686	525
170	690	520
171	695	517
172	699	513
173	703	509
174	706	504
175	712	501
176	716	497
177	720	493
178	724	489
179	728	485
180	732	481
181	736	477
182	740	473
183	744	469
184	748	465
185	752	461
186	756	457
187	761	453
188	765	449
189	769	445
190	774	441
191	778	437
192	782	433
193	786	429
194	791	426
195	795	422
196	799	418
197	804	414
198	808	410
199	812	406
200	816	402
201	820	398
202	824	394
203	828	390
204	832	385
205	837	381
206	841	377
207	845	373
208	849	369
209	854	366
210	858	362
211	862	357
212	866	353
213	870	349
214	874	345
215	878	341
216	882	337
217	886	333
218	890	329
219	894	325
220	898	321
221	903	317
222	907	313
223	910	308
224	914	304
225	918	300
226	922	296
227	926	292
228	929	288
229	934	284
230	938	280
231	942	276
232	945	272
233	950	268
234	954	263
235	957	259
236	962	255
237	966	251
238	969	247
239	973	243
240	977	239
241	981	235
242	985	231
243	989	227
244	992	222
245	996	218
246	1001	214
247	1004	210
248	1008	206
249	1012	202
250	1016	198
251	1019	194
252	1022	190
253	1026	185
254	1030	181
255	1033	177
256	1037	173
257	1040	169
258	1044	165
259	1048	161
260	1051	157
261	1055	153
262	1058	148
263	1062	144
264	1065	140
265	1069	136
266	1072	132
267	1076	128
268	1079	124
269	1083	120
270	1086	116
271	1090	112
272	1093	108
273	1097	104
274	1101	100
275	1105	96
276	1109	92
277	1112	88
278	1116	84
279	1119	79
280	1123	75
281	1127	71
282	1131	67
283	1135	63
284	1138	59
285	1143	55
286	1146	51
287	1150	47
288	1153	43
289	1157	39
290	1160	35
291	1163	31
292	1167	27
293	1170	23
294	1174	19
295	1178	15
296	1181	11
297	1184	7
298	1188	3
299	1192	0
