InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_numeric,TechSupport_numeric,Services_Score,Vulnerability_Score,tenure_group
0,2,2,0.5144278606965175,0.4446168936072005,1.0,1.0,1,0,3
1,0,0,0.5696517412935324,0.2171993999538426,0.0,0.0,1,2,2
0,1,2,0.6676616915422885,0.2898222940226171,1.0,1.0,2,2,2
1,0,0,0.6253731343283582,0.06437225940456959,0.0,0.0,0,5,0
0,1,3,0.417910447761194,0.37663858758366026,1.0,1.0,1,2,3
1,0,0,0.7069651741293532,0.0644818832217863,0.0,0.0,0,6,0
0,0,0,0.06666666666666665,0.009416108931456266,0.0,0.0,0,5,0
1,1,2,0.7029850746268657,0.6902030925455804,0.0,0.0,1,2,3
1,2,0,0.9676616915422885,0.9700380798522963,1.0,1.0,2,0,3
1,0,0,0.6626865671641791,0.05823909531502424,0.0,0.0,1,6,0
0,0,1,0.11492537313432838,0.02113431802446342,1.0,0.0,0,5,0
2,2,2,0.013432835820895522,0.1287156704361874,0.0,0.0,0,1,3
0,0,0,0.127363184079602,0.037900992384029546,0.0,0.0,1,4,1
1,2,2,0.618905472636816,0.6599123009462267,1.0,0.0,0,1,3
0,2,1,0.1706467661691542,0.049803831063927995,0.0,1.0,1,2,1
2,0,1,0.025870646766169153,0.006138933764135703,0.0,0.0,0,5,0
1,1,3,0.8601990049751244,0.4749653819524579,1.0,1.0,1,1,2
1,0,0,0.6671641791044776,0.1385933533348719,0.0,0.0,1,4,1
1,1,0,0.7701492537313434,0.6292349411493192,1.0,1.0,2,3,3
0,0,3,0.5119402985074627,0.05739095315024233,1.0,0.0,0,4,0
0,0,1,0.25174129353233826,0.036533579506115854,0.0,0.0,0,6,0
0,2,1,0.7263681592039801,0.7582275559658436,1.0,1.0,2,0,3
2,0,1,0.012935323383084563,8.654511885529664e-05,0.0,0.0,0,6,0
2,2,1,0.06069651741293533,0.18876067389799214,0.0,0.0,0,1,3
2,0,0,0.014925373134328346,0.004621509346872836,0.0,0.0,0,6,0
1,2,2,0.8577114427860696,0.845897761366259,0.0,1.0,1,3,3
0,0,0,0.3681592039800995,0.004206092776367413,0.0,0.0,0,6,0
1,0,1,0.6771144278606964,0.374705746595892,0.0,0.0,1,2,2
0,2,2,0.32139303482587056,0.38607777521347797,0.0,1.0,0,0,3
1,2,1,0.8154228855721393,0.5792349411493192,0.0,1.0,1,2,3
2,2,2,0.010945273631840807,0.14699399953842604,0.0,0.0,0,0,3
0,0,1,0.12786069651741294,0.046261250865451194,0.0,0.0,1,4,1
1,2,3,0.9492537313432835,0.935310408492961,1.0,1.0,2,1,3
1,0,0,0.7059701492537314,0.11210477729056081,0.0,0.0,1,6,0
0,2,2,0.5338308457711444,0.5147011308562197,1.0,1.0,1,2,3
0,0,3,0.3129353233830846,0.12259981537041312,0.0,0.0,1,4,1
0,2,2,0.5134328358208955,0.4597507500576967,1.0,1.0,1,4,3
2,0,1,0.02238805970149252,0.027313639510731597,0.0,0.0,0,2,0
2,0,3,0.011940298507462671,0.03716247403646435,0.0,0.0,0,3,1
1,0,3,0.8139303482587064,0.7908031387029771,0.0,1.0,0,5,3
1,2,0,0.8791044776119402,0.7396261250865451,0.0,1.0,1,2,3
0,2,2,0.3935323383084577,0.4639395338102931,0.0,1.0,2,1,3
2,2,3,0.07412935323383085,0.22139395338102932,0.0,0.0,0,3,3
2,2,3,0.00547263681592039,0.12411147011308563,0.0,0.0,0,2,3
0,1,1,0.46368159203980097,0.10754096468959151,1.0,0.0,1,1,1
1,0,0,0.8651741293532339,0.7982979459958459,0.0,0.0,2,3,3
2,2,2,0.06616915422885569,0.1357546734364182,0.0,0.0,0,2,3
0,1,1,0.3771144278606965,0.10536579736902839,0.0,0.0,0,2,1
1,0,3,0.5064676616915423,0.2603623355642741,0.0,0.0,0,6,2
1,0,1,0.5089552238805971,0.005838910685437342,0.0,0.0,0,6,0
0,0,2,0.47263681592039797,0.12605585045003462,1.0,0.0,0,4,1
1,0,0,0.5199004975124378,0.005965843526425109,0.0,0.0,0,6,0
1,0,3,0.8263681592039801,0.2049215324255712,0.0,0.0,2,4,1
0,2,0,0.6109452736318408,0.44443803369489965,0.0,1.0,1,0,2
0,0,3,0.3263681592039801,0.20726978998384493,1.0,0.0,0,2,2
1,1,0,0.8333333333333334,0.7512635587352874,1.0,1.0,1,2,3
1,1,0,0.8656716417910447,0.6412993307177476,0.0,0.0,2,0,3
2,2,1,0.027363184079601977,0.13749134548811448,0.0,0.0,0,0,3
2,0,3,0.023383084577114438,0.03593930302330949,0.0,0.0,0,4,1
0,0,1,0.25920398009950246,0.002942534041080083,0.0,0.0,0,6,0
0,0,2,0.372636815920398,0.03656242787906762,1.0,0.0,1,6,0
2,2,1,0.021890547263681587,0.11814562658666053,0.0,0.0,0,2,3
0,0,0,0.2691542288557213,0.0030579275328871443,0.0,0.0,0,6,0
1,0,2,0.5552238805970149,0.06708400646203555,0.0,0.0,1,8,0
1,0,3,0.8393034825870646,0.10142510962381722,0.0,0.0,2,4,0
2,0,2,0.072636815920398,0.056381260096930536,0.0,0.0,0,2,1
1,0,0,0.7611940298507462,0.08547772905608124,0.0,0.0,1,4,0
2,1,2,0.06467661691542287,0.1527059773828756,0.0,0.0,0,0,3
0,0,0,0.4537313432835821,0.48993768751442424,0.0,1.0,0,3,3
1,0,0,0.7557213930348259,0.48090237710593126,0.0,0.0,0,2,2
1,1,3,0.8208955223880597,0.6884606508192938,0.0,0.0,1,1,3
0,1,0,0.37014925373134333,0.34019732287099,0.0,0.0,2,4,3
2,0,1,0.07164179104477608,0.00754673436418186,0.0,0.0,0,5,0
0,0,0,0.27910447761194024,0.07161897069005309,0.0,0.0,0,2,1
2,1,3,0.05870646766169152,0.09018001384721902,0.0,0.0,0,0,2
2,0,1,0.01641791044776117,0.00012693284098776788,0.0,0.0,0,6,0
2,0,1,0.01791044776119402,0.052088622201707825,0.0,0.0,0,4,1
1,0,0,0.7945273631840796,0.12017078236787447,0.0,0.0,2,5,0
1,0,0,0.827860696517413,0.009537272097853683,0.0,0.0,1,6,0
1,0,0,0.708955223880597,0.06398569120701593,0.0,0.0,0,6,0
2,2,1,0.014925373134328346,0.02849642280175398,0.0,0.0,0,2,1
2,2,3,0.02288557213930348,0.12133048696053543,0.0,0.0,0,0,3
1,0,0,0.7253731343283583,0.34348603738749134,0.0,0.0,1,2,2
2,2,0,0.062189054726368154,0.2074082621740134,0.0,0.0,0,1,3
0,2,1,0.7094527363184079,0.5762231710131549,1.0,1.0,2,1,3
0,2,0,0.7104477611940299,0.6104200323101777,1.0,1.0,2,2,3
1,0,0,0.8069651741293532,0.545851603969536,0.0,0.0,1,2,2
1,0,0,0.7139303482587065,0.23139856912070159,1.0,0.0,1,5,1
1,2,0,0.9442786069651742,0.904361873990307,1.0,1.0,2,0,3
1,0,0,0.726865671641791,0.008366028156012,0.0,0.0,0,8,0
1,1,0,0.673134328358209,0.25401569351488573,1.0,0.0,1,3,2
0,1,1,0.31940298507462683,0.14620355411954766,0.0,0.0,1,0,2
2,0,0,0.010945273631840807,0.07673090237710593,0.0,0.0,0,2,2
1,1,2,0.8686567164179103,0.8281271636279715,0.0,1.0,1,3,3
0,0,3,0.454726368159204,0.034537272097853684,0.0,1.0,1,6,0
2,0,1,0.02985074626865672,0.021434341103161784,0.0,0.0,0,7,0
2,1,0,0.019402985074626844,0.0001615508885298867,0.0,0.0,0,2,0
1,0,1,0.7701492537313434,0.008867989845372723,0.0,0.0,0,6,0
2,2,3,0.015920398009950265,0.16328179090699285,0.0,0.0,0,1,3
2,1,1,0.018905472636815884,0.03863951073159474,0.0,0.0,0,2,1
0,0,1,0.061691542288557194,0.0006519732287099005,0.0,0.0,0,6,0
2,2,3,0.013432835820895522,0.10951996307408263,0.0,0.0,0,4,3
0,0,0,0.29402985074626864,0.008498730671590123,1.0,0.0,0,6,0
0,2,3,0.41393034825870645,0.41211631663974146,1.0,1.0,1,0,3
0,0,1,0.3338308457711442,0.11597622894068775,0.0,0.0,1,4,1
2,0,3,0.014427860696517386,0.012779829217632127,0.0,0.0,0,6,0
0,2,2,0.6114427860696517,0.6605700438495269,1.0,1.0,2,0,3
1,0,0,0.564179104477612,0.006479344564966536,0.0,0.0,0,6,0
0,0,0,0.061691542288557194,0.05354258019847681,0.0,0.0,0,3,1
2,1,1,0.00547263681592039,0.0,0.0,0.0,0,2,0
0,1,3,0.6039800995024875,0.32815024232633283,0.0,0.0,2,0,2
1,0,0,0.5199004975124378,0.06682437110546965,0.0,0.0,0,6,0
2,1,1,0.014427860696517386,0.008729517655204248,0.0,0.0,0,2,0
2,1,1,0.011442786069651711,0.11296445880452344,0.0,0.0,0,0,3
2,2,2,0.010945273631840807,0.1309081467805216,0.0,0.0,0,0,3
1,2,2,0.7970149253731342,0.7974382644818832,0.0,0.0,1,3,3
0,0,0,0.3771144278606965,0.2862335564274175,0.0,0.0,0,2,2
0,0,1,0.3746268656716417,0.016010846988229865,1.0,0.0,1,5,0
1,0,0,0.7915422885572139,0.5647934456496654,0.0,0.0,1,6,3
1,0,2,0.5582089552238805,0.5117124394184168,0.0,0.0,0,2,3
2,2,1,0.013432835820895522,0.020609277636741287,0.0,0.0,0,2,0
1,0,0,0.617412935323383,0.026684744980383108,0.0,0.0,0,4,0
1,0,0,0.7756218905472637,0.07164781906300485,0.0,0.0,0,6,0
2,1,2,0.014925373134328346,0.11196053542580199,0.0,0.0,0,2,3
0,0,0,0.16368159203980104,0.0018347565197322875,0.0,0.0,0,6,0
1,1,2,0.8159203980099502,0.7696976690514655,1.0,1.0,1,0,3
0,1,1,0.6860696517412935,0.499215324255712,1.0,1.0,2,0,3
