iter	Passed	Remaining
0	159	47651
1	164	24547
2	167	16625
3	171	12674
4	176	10397
5	180	8846
6	184	7743
7	188	6894
8	194	6283
9	197	5733
10	201	5297
11	204	4914
12	210	4649
13	214	4384
14	217	4136
15	220	3921
16	228	3796
17	231	3631
18	234	3473
19	239	3349
20	244	3243
21	247	3127
22	250	3016
23	254	2926
24	259	2849
25	262	2766
26	265	2682
27	268	2604
28	273	2552
29	276	2485
30	278	2420
31	281	2359
32	284	2303
33	289	2268
34	292	2217
35	295	2167
36	298	2120
37	302	2087
38	306	2051
39	309	2011
40	312	1971
41	314	1933
42	318	1903
43	322	1873
44	324	1840
45	327	1808
46	330	1778
47	334	1753
48	337	1729
49	340	1701
50	343	1675
51	346	1650
52	349	1629
53	353	1609
54	356	1587
55	360	1569
56	363	1547
57	367	1532
58	370	1512
59	373	1492
60	375	1472
61	378	1453
62	381	1436
63	385	1419
64	387	1401
65	390	1384
66	393	1367
67	396	1353
68	401	1343
69	404	1327
70	407	1314
71	410	1299
72	415	1293
73	419	1280
74	422	1268
75	426	1255
76	430	1246
77	433	1233
78	436	1220
79	438	1207
80	441	1193
81	445	1183
82	448	1173
83	451	1160
84	454	1148
85	456	1136
86	460	1126
87	464	1118
88	467	1108
89	470	1097
90	473	1086
91	476	1077
92	481	1072
93	484	1062
94	487	1052
95	490	1042
96	495	1036
97	498	1027
98	501	1017
99	503	1007
100	506	998
101	511	992
102	514	983
103	517	974
104	519	965
105	522	956
106	527	951
107	530	943
108	533	934
109	536	926
110	539	918
111	543	912
112	546	904
113	549	895
114	551	887
115	555	881
116	562	880
117	566	873
118	569	865
119	574	861
120	578	856
121	581	848
122	584	840
123	587	834
124	591	828
125	594	821
126	597	814
127	600	806
128	604	801
129	607	794
130	610	787
131	613	780
132	616	773
133	619	767
134	623	762
135	626	755
136	628	748
137	631	741
138	634	734
139	638	729
140	641	723
141	643	716
142	646	709
143	649	703
144	652	697
145	656	692
146	659	685
147	661	679
148	664	673
149	667	667
150	671	662
151	673	656
152	676	650
153	679	643
154	682	638
155	687	634
156	691	629
157	694	624
158	697	618
159	700	613
160	703	607
161	706	601
162	709	596
163	712	590
164	716	585
165	720	581
166	723	575
167	725	570
168	728	564
169	733	560
170	736	555
171	739	550
172	742	544
173	745	539
174	749	535
175	752	530
176	755	525
177	758	519
178	761	514
179	765	510
180	768	505
181	771	500
182	774	495
183	777	490
184	781	486
185	785	481
186	787	476
187	790	471
188	793	466
189	797	461
190	800	457
191	803	452
192	806	447
193	809	442
194	813	437
195	816	433
196	819	428
197	822	423
198	826	419
199	830	415
200	833	410
201	836	405
202	838	400
203	841	395
204	844	391
205	848	386
206	850	382
207	853	377
208	856	372
209	860	368
210	863	364
211	866	359
212	869	355
213	872	350
214	875	346
215	879	341
216	882	337
217	884	332
218	887	328
219	890	323
220	895	320
221	898	315
222	901	311
223	903	306
224	906	302
225	910	298
226	913	293
227	915	289
228	918	284
229	921	280
230	924	276
231	927	271
232	930	267
233	933	263
234	935	258
235	938	254
236	944	250
237	946	246
238	949	242
239	952	238
240	955	233
241	959	229
242	963	225
243	966	221
244	968	217
245	972	213
246	976	209
247	979	205
248	982	201
249	985	197
250	988	192
251	991	188
252	994	184
253	997	180
254	999	176
255	1002	172
256	1006	168
257	1008	164
258	1011	160
259	1014	156
260	1016	151
261	1019	147
262	1023	144
263	1026	139
264	1029	135
265	1031	131
266	1034	127
267	1037	123
268	1040	119
269	1043	115
270	1045	111
271	1048	107
272	1051	103
273	1055	100
274	1058	96
275	1060	92
276	1063	88
277	1066	84
278	1070	80
279	1073	76
280	1075	72
281	1078	68
282	1080	64
283	1083	61
284	1087	57
285	1090	53
286	1094	49
287	1096	45
288	1099	41
289	1104	38
290	1106	34
291	1109	30
292	1111	26
293	1114	22
294	1117	18
295	1121	15
296	1124	11
297	1126	7
298	1129	3
299	1131	0
